ID,Typ,"Katalogové číslo",Jméno,Publikovaný,"Je zvýrazněný?","Viditelnost v katalogu","Krátký popis",Popis,"Sleva začíná dne","Sleva končí dne","Stav daně","Daňová třída",Skladem?,Sklad,"Práh nízkého skladu","Povoleno objednávání?","Prodávat samostatně?","Hmotnost (kg)","Délka (cm)","Šířka (cm)","Výška (cm)","Povolit zákaznické recenze?","Poznámka k nákupu","Cena po slevě","Běžná cena",Kategorie,Štítky,"Třída dopravy",Obrázky,"Limit stahování","Expirace stahování ve dnech",Nadřazené,"Seskupené produkty","Navyšovací prodej","Doplňkový prodej","Externí URL","Text tlačítka",Pozice,"Název 1 vlastnosti","Hodnota(y) 1 vlastnosti","Vlastnost 1 viditelnost","Vlastnost 1 globální","Název 2 vlastnosti","Hodnota(y) 2 vlastnosti","Vlastnost 2 viditelnost","Vlastnost 2 globální","Název 3 vlastnosti","Hodnota(y) 3 vlastnosti","Vlastnost 3 viditelnost","Vlastnost 3 globální","Název 4 vlastnosti","Hodnota(y) 4 vlastnosti","Vlastnost 4 viditelnost","Vlastnost 4 globální"
367,simple,,"Středoškolská odborná činnost",1,0,visible,,"<a href=""http://www.soc.cz/"" target=""_blank"" rel=""noopener noreferrer"">SOČ</a> je prestižní soutěž pro středoškolské studenty. Ti nejlepší mají možnost pokračovat na zahraniční soutěže. Pro řadu účastníků je soutěž počátkem jejich vědecké kariéry. Soutěží se v 18 soutěžních oborech a účastníci postupně prochází několika koly, kde si v každém z nich vyzkouší obhájit svou práci před odbornou porotou.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ",1,1,"Typ aktivity",Soutěž,1,1,,,,
368,simple,,"Otevřená věda - AV ČR",1,0,visible,,"<a href=""http://www.otevrenaveda.cz/index.html"" target=""_blank"" rel=""noopener noreferrer"">Projekt Otevřená věda - AV ČR</a> se soustředí na podporu zvyšování zájmu o vědu a výzkum. Zapojit se můžete mimo jiné do stážistického programu, kdy budete minimálně osm hodin týdně pracovat na konkrétním projektu pod vedením zkušených lektorů.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ",1,1,"Typ aktivity","Osobní rozvoj, Stáž",1,1,,,,
369,simple,,"AFS Mezikulturní programy Česká republika",1,0,visible,,"<a href=""https://www.afs.cz/"" target=""_blank"" rel=""noopener noreferrer"">AFS</a> je celosvětová nevládní nezisková dobrovolnická organizace, která nabízí příležitost v oblasti mezikulturního vzdělávání. Pro studenty SŠ nabízí možnost vyjet až na celý školní rok do mnoha zemí světa. Student bydlí v hostitelské rodině a chodí do místní školy. Díky tomu má možnost se naučit místní jazyk, poznat lidi z celého světa a zažit mnoho nového.",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student SŠ",1,1,"Typ aktivity","Výjezd do zahraničí",1,1,,,,
370,simple,,Mladiinfo,1,0,visible,,"Mladiinfo je spolek lidí, kteří informují o stážích, pracovních nabídkách v neziskových organizacích a dalších možnostech rozvoje. Zapojit se mimo jiné můžeš jako redaktor a psát články pro web Mladiinfo.cz. Psát můžeš o stážích, cestování, publikovat rozhovory se zajímavými lidmi a další. Nebo se s nimi i vydat do zahraničí!\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ, student ZŠ",1,1,"Typ aktivity",Dobrovolnictví,1,1,,,,
371,simple,,"Mezinárodní cena Vévody z Edinburgu",1,0,visible,,"Cílem programu je podpořit komplexní rozvoj schopností a dovedností mladých lidí ve věku 13 až 24 let skrze dlouhodobé a pravidelné aktivity ve čtyřech provázaných oblastech: rozvoji talentu, sportu, dobrovolnictví a dobrodružné expedici ve třech úrovních. Účastníci mohou získat při splnění programu mezinárodně uznávaný certifikát DofE – bronzový (6 měsíců plnění), stříbrný (12 měsíců plnění) a zlatý (18 měsíců plnění). www.dofe.cz",,,taxable,,1,,,0,0,,,,,1,,,,"Databáze aktivit",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
372,simple,,"Bakala Foundation",1,0,visible,,"Bakala Foundation je česká rodinná nadace Zdeňka a Michaely Bakalových. Byla založena v roce 2007 s cílem podporovat studium talentovaných studentů na prestižních zahraničních univerzitách prostřednictvím programu Scholarship. Kaplicky Internship je program, který poskytuje nadcházejícím a čerstvým absolventům architektonických oborů z českých univerzit možnost strávit tři měsíce na stáži v jednom z prestižních londýnských studií. Mohou si tak vyzkoušet práci na významných projektech ve společnosti renomovaných architektů. https://www.bakalafoundation.org/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Výjezd do zahraničí",1,1,,,,
373,simple,,"Bakala Foundation",1,0,visible,,"Program Journey: Journalism Bootcamp je desetidenní intenzivní kurz žurnalistiky určený pro české i zahraniční studenty.\n\nhttps://www.bakalafoundation.org/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student VŠ",1,1,"Typ aktivity","Osobní rozvoj",1,1,,,,
374,simple,,"Bakala Foundation",1,0,visible,,"Student Hub je centrem akcí, poradenství a zdrojů o vzdělávání, otevřeným pro širokou veřejnost. https://www.bakalafoundation.org/student-hub/",,,taxable,,1,,,0,0,,,,,1,,,,"Databáze aktivit",,,,,,,,,,,,0,,,,,,,,,,,,,,,,
375,simple,,"Kellner Foundation",1,0,visible,,"Nadace poskytuje finanční granty studentům především na zahraničních univerzitách, a to během studia bakalářských programů. Granty na studium tuzemských univerzit získávají zpravidla studenti z dětských domovů a jinak výrazně sociálně znevýhodněného prostředí. Pro tyto studenty platí ještě jedna výjimka – nadace je v případě vynikajících studijních výsledků podporuje i během magisterského studia. https://www.kellnerfoundation.cz/univerzity/granty/komu-jsou-urceny-financni-granty",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Výjezd do zahraničí",1,1,,,,
376,simple,,"Kellner Foundation",1,0,visible,,"Nadace poskytuje finanční granty pro studium na Open Gate https://www.kellnerfoundation.cz/open-gate/stipendium/pro-koho",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Praha,1,1,"Pro koho","student SŠ",1,1,"Typ aktivity","Studium v ČR",1,1,,,,
377,simple,,YFU,1,0,visible,,"Semestrální nebo roční programy v zahraničí. https://www.yfu.cz/studium-v-zahranici/studijni-pobyty/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student SŠ",1,1,"Typ aktivity","Výjezd do zahraničí",1,1,,,,
378,simple,,YFU,1,0,visible,,"Různé možnosti dobrovolnictví v organizaci. https://www.yfu.cz/dobrovolnici/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity",Dobrovolnictví,1,1,,,,
